"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Settings/Security.js", "JavaScript", 39, 0, 0, 6, 45
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Settings/Settings.js", "JavaScript", 181, 0, 19, 42, 242
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Settings/UploadPicture.js", "JavaScript", 75, 0, 20, 26, 121
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Signup/DriverSignUp.js", "JavaScript", 325, 0, 4, 31, 360
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Signup/RiderSignUp.js", "JavaScript", 323, 0, 4, 31, 358
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Signup/Signup.js", "JavaScript", 76, 0, 1, 8, 85
"/Users/mickeyhuang/PoolRides/poolrides-app/src/screens/Startup.js", "JavaScript", 75, 0, 0, 8, 83
"/Users/mickeyhuang/PoolRides/poolrides-app/src/utils/AuthErrorHandler.js", "JavaScript", 21, 0, 0, 2, 23
"/Users/mickeyhuang/PoolRides/poolrides-app/src/utils/gpsUtils.js", "JavaScript", 71, 0, 9, 7, 87
"/Users/mickeyhuang/PoolRides/poolrides-app/src/utils/styles.js", "JavaScript", 123, 0, 7, 8, 138
"/Users/mickeyhuang/PoolRides/poolrides-app/src/utils/tos.js", "JavaScript", 4, 0, 0, 1, 5
"Total", "-", 6245, 161, 181, 737, 7324
